station_name,lat,lon,alt_m,time_utc,time_local,ta_c,rh,source_file
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 08:00:00+00:00,2019-06-04 08:00:00,17.800018,92.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 09:00:00+00:00,2019-06-04 09:00:00,21.600006,67.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 10:00:00+00:00,2019-06-04 10:00:00,21.899994,65.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 11:00:00+00:00,2019-06-04 11:00:00,23.800018,63.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 12:00:00+00:00,2019-06-04 12:00:00,25.899994,57.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 13:00:00+00:00,2019-06-04 13:00:00,27.200012,52.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 14:00:00+00:00,2019-06-04 14:00:00,26.700012,52.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 15:00:00+00:00,2019-06-04 15:00:00,26.800018,52.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 16:00:00+00:00,2019-06-04 16:00:00,19.399994,91.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 17:00:00+00:00,2019-06-04 17:00:00,22.899994,79.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
